origin_country,total_flights,avg_velocity,on_ground
Afghanistan,1,202.74,0
Algeria,8,218.0125,0
Angola,1,132.76,0
Argentina,7,153.79142857142855,1
Australia,306,120.4036274509804,68
Austria,140,137.69007142857143,20
Azerbaijan,5,226.94400000000002,0
Bahrain,1,242.34,0
Bangladesh,15,106.61,2
Belarus,3,202.51333333333332,0
Belgium,48,113.545,17
Bhutan,4,167.855,0
Bosnia and Herzegovina,1,126.94,0
Brazil,41,177.89585365853657,2
Brunei Darussalam,1,232.64,0
Bulgaria,10,228.198,0
Cambodia,1,188.94,0
Canada,96,171.1384375,19
Chile,18,229.2555555555556,0
China,193,187.35523316062174,10
Colombia,2,150.465,0
Croatia,11,178.5218181818182,0
Cyprus,4,165.245,0
Czech Republic,27,100.26148148148148,3
Denmark,38,154.17842105263156,1
Dominican Republic,1,220.72,0
Ecuador,1,241.0,0
Egypt,22,210.8777272727273,1
Estonia,10,159.905,2
Ethiopia,5,230.67399999999998,0
Finland,40,157.24825,2
France,256,131.452109375,36
Georgia,5,108.88600000000001,2
Germany,279,137.90494623655914,36
Greece,56,139.97214285714287,6
Hungary,56,188.95303571428573,5
Iceland,9,172.64,1
India,175,160.59714285714287,23
Indonesia,32,160.2396875,0
Iraq,2,212.20999999999998,0
Ireland,323,182.51767801857585,17
Israel,35,174.33485714285715,4
Italy,46,91.36565217391303,1
Japan,167,159.68520958083832,19
Jordan,16,169.46125,0
Kazakhstan,1,216.98,0
Kenya,3,115.50999999999999,0
Kingdom of the Netherlands,127,153.6524409448819,21
Latvia,38,140.82342105263157,3
Lebanon,4,180.3075,0
Libyan Arab Jamahiriya,4,255.8075,0
Lithuania,11,118.27909090909093,4
Luxembourg,30,154.26266666666666,5
Malaysia,54,179.4362962962963,1
Malta,165,184.50115151515152,15
Mauritania,1,91.6,0
Mexico,36,197.81,5
Monaco,2,141.20499999999998,0
Morocco,27,216.62851851851852,0
Myanmar,3,176.78333333333333,0
New Zealand,33,127.0730303030303,6
Norway,49,132.8030612244898,4
Oman,3,273.00333333333333,0
Panama,15,224.48066666666668,0
Philippines,32,141.7446875,6
Poland,96,169.083125,9
Portugal,78,176.9673076923077,6
Qatar,41,215.44463414634146,3
Republic of Korea,101,174.43613861386137,10
Republic of Moldova,4,159.27,0
Romania,26,139.43153846153845,3
Russian Federation,45,211.89822222222222,0
Rwanda,1,67.91,0
San Marino,9,195.44666666666666,1
Saudi Arabia,17,234.39705882352942,0
Serbia,15,172.50133333333332,1
Singapore,33,178.23666666666665,3
Slovenia,4,159.65,1
South Africa,31,145.7774193548387,1
Spain,221,157.61339366515836,14
Sri Lanka,2,238.10000000000002,0
Sweden,77,141.15636363636364,9
Switzerland,127,117.23661417322835,29
Syrian Arab Republic,1,238.25,0
Taiwan,62,187.7109677419355,3
Tajikistan,1,27.27,0
Thailand,76,166.05855263157895,2
Trinidad and Tobago,2,223.06,0
Tunisia,16,193.68375,0
Turkey,235,198.77004255319147,10
Ukraine,1,220.06,0
United Arab Emirates,78,196.16256410256412,2
United Kingdom,476,161.28327731092438,43
United States,821,191.93230207064556,71
Uzbekistan,4,274.1675,0
Viet Nam,17,208.3029411764706,1
