icao24,origin_country,velocity,on_ground
e8027e,Chile,253.77,False
e8027d,Chile,222.24,False
801638,India,106.94,False
39de4b,France,203.47,False
39de4a,France,243.71,False
39de4d,France,228.35,False
39de57,France,0.0,True
801641,India,194.67,False
801640,India,222.57,False
801643,India,130.5,False
80162e,India,258.4,False
80162f,India,250.19,False
7c2efe,Australia,50.67,False
488280,Poland,43.29,False
aae312,United States,210.46,False
80163c,India,278.62,False
801648,India,5.4,True
00b22c,South Africa,224.3,False
80160a,India,187.5,False
801622,India,231.77,False
851914,Japan,260.22,False
80161c,India,246.69,False
801627,India,224.55,False
801626,India,251.64,False
407a05,United Kingdom,203.64,False
801631,India,143.69,False
39de45,France,0.0,True
39de48,France,219.22,False
39de47,France,1.29,True
39de49,France,0.0,True
801633,India,103.44,False
80161d,India,207.04,False
39de42,France,2.83,True
39de44,France,231.01,False
511187,Estonia,211.72,False
8a02d6,Indonesia,223.8,False
44028c,Austria,0.0,True
4acb01,Sweden,239.42,False
440298,Austria,38.73,False
4acb03,Sweden,4.89,True
4acb02,Sweden,221.54,False
801685,India,278.57,False
51116f,Estonia,202.61,False
4bc8c9,Turkey,0.06,True
e80252,Chile,252.67,False
4bc8c6,Turkey,206.43,False
4bc8c7,Turkey,210.27,False
4bc8c2,Turkey,214.75,False
4bc8d0,Turkey,223.31,False
a61836,United States,259.33,False
511172,Estonia,213.17,False
511170,Estonia,211.62,False
e80268,Chile,227.46,False
801699,India,217.7,False
4bc8d6,Turkey,218.66,False
4bc8d3,Turkey,215.49,False
80164b,India,188.25,False
e8025f,Chile,216.77,False
80164e,India,0.0,True
80164f,India,245.53,False
a39bfa,United States,227.59,False
47b217,Norway,237.59,False
471efe,Hungary,175.48,False
801663,India,0.0,True
800333,India,105.26,False
ac3688,United States,239.07,False
51118a,Estonia,220.18,False
3d23c1,Germany,47.29,False
44029f,Austria,67.91,False
80165c,India,229.42,False
511195,Estonia,219.1,False
80165a,India,214.63,False
a5f825,United States,103.2,False
511194,Estonia,200.65,False
3ac3ff,France,0.0,True
4acb41,Sweden,237.6,False
4acb45,Sweden,237.44,False
86cfa0,Japan,108.18,False
3455d7,Spain,134.23,False
8a0418,Indonesia,225.95,False
440248,Austria,224.04,False
4acb59,Sweden,133.92,False
44023f,Austria,210.45,False
3c5ee6,Germany,172.2,False
3c5ee5,Germany,178.15,False
3c5ee9,Germany,6.94,True
4bc8cf,Turkey,196.05,False
4bc8ce,Turkey,217.93,False
4acb23,Sweden,159.74,False
80168a,India,165.65,False
4bc8cc,Turkey,205.79,False
3c5ee4,Germany,239.37,False
ad41ed,United States,7.72,False
3c5ef8,Germany,207.9,False
80169d,India,227.58,False
3c5ef6,Germany,194.48,False
46b82a,Greece,201.59,False
46b82b,Greece,220.67,False
3c5eed,Germany,120.47,False
4bc8da,Turkey,196.4,False
46b82f,Greece,206.17,False
